Species,Cname,LDMC,WD,SDMC,LA,SLA,YLS,LT,tlp
C183,小叶红光树,0.561928276,0.432882763,0.456266131,67.08350584,163.9110447,51.8,0.121388889,-1.584051314
C184,斜基粗叶木,0.32507676,0.469184985,0.425913433,35.24465847,176.5983539,51.04166667,0.162541667,-1.761568138
C185,斜脉粗叶木,0.334397722,0.49105355,0.43327064,56.29435666,149.8423063,53.23333333,0.178083333,
Sn26,雪下红,0.250553316,0.521434653,0.416392519,24.00810856,186.5630325,46.27777778,0.199555556,
C187,野波罗蜜,0.406496988,0.513100701,0.474331331,132.8733232,173.9239787,49.42222222,0.128666667,
C188,蚁花,0.542006672,0.599047619,0.543177893,20.70016564,189.1978072,53.33333333,0.137666667,-1.631368151
C189,异色假卫矛,0.315177626,0.499747414,0.489538906,52.10939311,156.7085046,57.77777778,0.197888889,
C191,银钩花,0.419263816,0.474407001,0.430360365,53.29720052,211.9010165,50.52222222,0.130777778,-1.430455198
C193,印度血桐,0.37390229,0.487097649,0.476563424,143.5801938,157.2376851,38.71666667,0.194583333,
C194,印度锥,0.622081041,0.787200187,0.636542048,105.0420278,189.6013133,41.01111111,0.100666667,-1.477667119
C195,鱼尾葵,0.461885469,0.561199844,0.501242658,59.98823505,140.3201656,51.15555556,0.136666667,
Sn27,鱼子兰,0.30769916,0.290206176,0.272174786,51.53168488,161.9339202,52.05555556,0.141277778,
C197,越南巴豆,0.36126248,0.52600776,0.409004276,80.05255212,168.9628063,48.35555556,0.169555556,-1.203628145
C198,越南割舌树,0.383535648,0.661021841,0.555126744,60.54934904,158.5016956,63.85555556,0.145666667,
C199,越南山矾,0.286899445,0.370705585,0.313713839,128.779647,168.5140345,48.09444444,0.161444444,-1.402547706
C200,云南沉香,0.354976359,0.349364026,0.39603771,34.75029288,232.6786798,35.84444444,0.111888889,-1.719811816
C201,云南风吹楠,0.219431961,0.380337079,0.37136588,150.7541784,193.1011462,54.06666667,0.166,
C202,云南黄杞,0.387136921,0.504057632,0.47685738,73.49822998,201.3329053,49.32222222,0.139,-1.631892728
Sn28,云南九节,0.218942966,0.367175368,0.324466074,77.20857181,205.6852531,53.31111111,0.151611111,
C204,云南蒲桃,0.487791893,0.601459854,0.523271914,65.38403893,116.8040111,47.78333333,0.147833333,
Sn29,云南棋子豆,0.515812252,0.68362376,0.577356263,59.45346691,194.4294929,52.96111111,0.118833333,
C206,云南山壳骨,0.234965257,0.516837694,0.422485283,47.76120313,186.1488102,58.47222222,0.186333333,-1.32344151
C207,云南叶轮木,0.201705535,0.39415248,0.387045359,53.48737166,367.5341966,37.74444444,0.123611111,-1.246013959
C208,云南银柴,0.27104921,0.407518733,0.37539643,44.5805397,135.7990506,52.43333333,0.239222222,-1.151590117
C210,云树,0.295022274,0.655354022,0.558653756,46.48914634,152.1319751,51.21111111,0.212666667,-1.395833122
C212,长柄油丹,0.272357118,0.240594499,0.243719689,102.0740689,180.9146634,45.73333333,0.163666667,-1.555724162
C213,长梗三宝木,0.304898856,0.532519971,0.487161021,60.33741845,190.3150888,46.61111111,0.198666667,
C214,长裂藤黄,0.453713609,0.754164953,0.583814527,6.962954415,172.7552429,67.76666667,0.114722222,-1.794301736
C215,长叶紫珠,0.377317534,0.521292475,0.485270548,80.35385005,248.6573303,33.23333333,0.091222222,
C216,长柱山丹,0.244696688,0.465668929,0.419575852,73.28611374,284.9073396,41.24444444,0.145666667,
C217,鹧鸪花,0.311009773,0.609201931,0.529597658,28.79241986,213.7765816,50.66666667,0.152666667,-1.829763135
Sn31,蜘蛛花,0.120676906,0.18325314,0.175354912,94.33954917,351.1960247,42.46666667,0.168,
C218,中华野独活,0.452551488,0.636645736,0.576007473,19.81518413,193.3933378,60.02222222,0.122888889,-1.554465177
C221,紫叶琼楠,0.248171973,0.466457382,0.462912337,68.93789101,142.78544,57.50833333,0.2225,
C222,紫珠,0.284582104,0.443708023,0.393493095,75.41661991,276.170484,43.73333333,0.135222222,
